Structure Name	Field Name	Description	Data Type	Component Type
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY6_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY6_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY7	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY7_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY7_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY8	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY8_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY8_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY9	Field Name	CHAR(30)	FIELDNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY9_DS	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	KEY9_V	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	NAME_FIRST	First name	CHAR(40)	AD_NAMEFIR
/SKN/S_SW_10_06_MD_CHNG_LOG	NAME_LAST	Last name	CHAR(40)	AD_NAMELAS
/SKN/S_SW_10_06_MD_CHNG_LOG	NAME_TEXT	Full Name of Person	CHAR(80)	AD_NAMTEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	OBJECTCLAS	Object class	CHAR(15)	CDOBJECTCL
/SKN/S_SW_10_06_MD_CHNG_LOG	OBJECTID	Object value	CHAR(90)	CDOBJECTV
/SKN/S_SW_10_06_MD_CHNG_LOG	OBJECT_DESC	Name 1	CHAR(35)	NAME1_GP
/SKN/S_SW_10_06_MD_CHNG_LOG	PLANCHNGNR	Planned change number	CHAR(12)	PLANCHNGNR
/SKN/S_SW_10_06_MD_CHNG_LOG	REPETITIVE	'X' - Repetitive change	CHAR(1)	/SKN/E_REPEAT
/SKN/S_SW_10_06_MD_CHNG_LOG	TABKEY	Changed table record key	CHAR(70)	CDTABKEY
/SKN/S_SW_10_06_MD_CHNG_LOG	TABNAME	Table Name	CHAR(30)	TABNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	TAB_DESC	Short Description of Repository Objects	CHAR(60)	AS4TEXT
/SKN/S_SW_10_06_MD_CHNG_LOG	TCODE	Transaction in which a change was made	CHAR(20)	CDTCODE
/SKN/S_SW_10_06_MD_CHNG_LOG	TEXT_CASE	Flag: X=Text change	CHAR(1)	CDXFELD
/SKN/S_SW_10_06_MD_CHNG_LOG	UDATE	Creation date of the change document	DATS(8)	CDDATUM
/SKN/S_SW_10_06_MD_CHNG_LOG	UNIT_NEW	Change documents, unit referenced	UNIT(3)	CDUNIT
/SKN/S_SW_10_06_MD_CHNG_LOG	UNIT_OLD	Change documents, unit referenced	UNIT(3)	CDUNIT
/SKN/S_SW_10_06_MD_CHNG_LOG	USERNAME	User name of the person responsible in change document	CHAR(12)	CDUSERNAME
/SKN/S_SW_10_06_MD_CHNG_LOG	UTIME	Time changed	TIMS(6)	CDUZEIT
/SKN/S_SW_10_06_MD_CHNG_LOG	VALUE_NEW	New contents of changed field	CHAR(254)	CDFLDVALN
/SKN/S_SW_10_06_MD_CHNG_LOG	VALUE_OLD	Old contents of changed field	CHAR(254)	CDFLDVALO
/SKN/S_SW_10_06_MD_CHNG_LOG	WAS_PLANND	Flag that changes were generated from planned changes	CHAR(1)	CD_PLANNED
